title,date,actors,staff,genres
The Third Man,1949-08-31,"[Joseph Cotten, Alida Valli, Orson Welles, Trevor Howard, Bernard Lee, Paul Hörbiger, Ernst Deutsch, Siegfried Breuer, Erich Ponto, Wilfrid Hyde-White, Hedwig Bleibtreu, Alexis Chesnakov, Thomas Gallagher, Hannah Norbert, Eric Pohlmann, Carol Reed, Annie Rosar, Frederick Schrecker]","[Carol Reed, Graham Greene, Carol Reed, Anton Karas, Robert Krasker, John Wilcox, David O. Selznick, Alexander Korda, Hugh Perceval, John Cox, Bert Ross, Ivy Baker, Vincent Korda]","[Thriller, Mystery]"
The Treasure of the Sierra Madre,1948-01-24,"[Humphrey Bogart, Walter Huston, Tim Holt, Bruce Bennett, Barton MacLane, Alfonso Bedoya, Manuel Dondé, Robert Blake, John Huston, Jack Holt, Ann Sheridan, Jay Silverheels, Roberto Cañedo, Spencer Chan, Jacqueline Dalya, Ralph Dunn]","[John Huston, John Huston, Henry Blanke, Jack L. Warner, Ted D. McCord, Owen Marks, Leo F. Forbstein, Perc Westmore, Fred M. MacLean, William C. McGann, Murray Cutter, Hans F. Koenekamp, Max Steiner, John Hughes, Frank McCoy, Monty Westmore]","[Adventure, Drama, Western]"
Good Will Hunting,1997-12-05,"[Matt Damon, Robin Williams, Ben Affleck, Stellan Skarsgård, Minnie Driver, Casey Affleck, Cole Hauser, Alison Folland, Vik Sahay, Steven Kozlowski]","[Gus Van Sant, Lawrence Bender, Jonathan Gordon, Su Armstrong, Bob Weinstein, Harvey Weinstein, Jean-Yves Escoffier, Pietro Scalia, Kerry Barden, Billy Hopkins, Suzanne Smith, Missy Stewart, Jaro Dick, Beatrix Aruna Pasztor, Danny Elfman, Chris Moore, Kenneth Karman]",[Drama]
Bohemian Rhapsody,2018-10-24,"[Rami Malek, Gwilym Lee, Ben Hardy, Joseph Mazzello, Lucy Boynton, Aidan Gillen, Allen Leech, Tom Hollander, Mike Myers, Aaron McCusker, Ace Bhatti, Max Bennett, Jack Roth, Michelle Duncan]","[Anthony McCarten, Newton Thomas Sigel, Robert De Niro, Graham King, Bryan Singer, Brian May, Denis O'Sullivan, Jane Rosenthal, Arnon Milchan, John Ottman, Richard Hewitt, Roger Taylor, Brian May]","[Drama, Music]"
Paperman,2012-11-02,[],"[Clio Chiang, John Lasseter, Christophe Beck, Lisa Linder, Anthony DeRosa]","[Animation, Family, Romance]"
The Sting,1973-12-25,"[Paul Newman, Robert Redford, Robert Shaw, Charles Durning, Ray Walston, Eileen Brennan, Harold Gould, Dana Elcar, Jack Kehoe, Dimitra Arliss, Robert Earl Jones, Charles Dierkop, Lee Paul, Sally Kirkland, Arch Johnson, Ed Bakey]","[George Roy Hill, Tony Bill, Julia Phillips, Michael Phillips, Robert Surtees, William Reynolds, Edith Head, Charlsie Bryant, David Brown, Richard D. Zanuck, Henry Bumstead]","[Comedy, Crime, Drama]"
Memories of Murder,2003-04-24,"[Song Kang-ho, Kim Sang-kyung, Kim Roe-ha, Park Hae-il, Go Seo-hee, Ryu Tae-ho, Park No-shik, Choi Jong-ryul, Jeon Mi-Sun, Byun Hee-bong, Shin Dong-hwan, Lee Jae-eung, Yoon Ga-hyun, Jung In-sun]","[Kim Moo-ryoung, Bong Joon-ho, Kim Hyung-koo, Bong Joon-ho, Ryu Seong-hee]","[Crime, Drama, Thriller]"
Sanjuro,1962-01-01,"[Toshirō Mifune, Tatsuya Nakadai, Keiju Kobayashi, Yûzô Kayama, Takashi Shimura, Kamatari Fujiwara, Masao Shimizu, Yūnosuke Itō, Takako Irie, Reiko Dan, Yutaka Sada, Akira Kubo, Yoshio Tsuchiya, Akihiko Hirata]","[Akira Kurosawa, Akira Kurosawa, Shûgorô Yamamoto, Masaru Satô, Takao Saitô, Akira Kurosawa, Hideo Oguni, Masanobu Deme, Tomoyuki Tanaka]","[Drama, Action, Comedy]"
In This Corner of the World,2016-11-12,"[Non, Daisuke Ono, Megumi Han, Hisako Kyouda]","[Sunao Katabuchi, Sunao Katabuchi, Sunao Katabuchi]","[Drama, Animation]"
The Lives of Others,2006-03-15,"[Martina Gedeck, Ulrich Mühe, Sebastian Koch, Ulrich Tukur, Thomas Thieme, Hans-Uwe Bauer, Volkmar Kleinert, Charly Hübner, Herbert Knaup, Marie Gruber, Hinnerk Schönemann, Thomas Arnold, Ludwig Blochberger, Volker Michalowski, Werner Daehn, Martin Brambach, Paul Faßnacht]","[Florian Henckel von Donnersmarck, Florian Henckel von Donnersmarck, Hagen Bogdanski, Patricia Rommel, Max Wiedemann, Quirin Berg, Simone Bär, Florian Henckel von Donnersmarck, Silke Buhr, Frank Noack, Gabriele Binder]","[Drama, Thriller]"
Eternal Sunshine of the Spotless Mind,2004-03-19,"[Jim Carrey, Kate Winslet, Kirsten Dunst, Mark Ruffalo, Elijah Wood, Tom Wilkinson, Jane Adams, David Cross, Deirdre O'Connell, Thomas Jay Ryan, Debbon Ayer, Gerry Robert Byrne, Josh Flitter, Paul Litowsky, Amir Ali Said, Lauren Adler]","[Michel Gondry, Jon Brion, Ellen Kuras, Anthony Bregman, Steve Golin, Charlie Kaufman, Charlie Kaufman, Michel Gondry, Dan Leigh, Jeanne McCarthy, Melissa Toth, Ron von Blomberg, Mary Cybulski, David L. Bushell, Glenn Williamson, Georges Bermann, Charlie Kaufman]","[Science Fiction, Drama, Romance]"
Hacksaw Ridge,2016-10-07,"[Andrew Garfield, Sam Worthington, Vince Vaughn, Luke Bracey, Teresa Palmer, Hugo Weaving, Rachel Griffiths, Richard Roxburgh, Firass Dirani, Nathaniel Buzolic, Ori Pfeffer, Matthew Nable]","[Mel Gibson, Robert Schenkkan, Bruce Davey, Brian Oliver, David Permut, Simon Duggan, John Gilbert, Nikki Barrett, Barry Robison, Mark Robins, Lizzy Gardiner]","[Drama, History, War]"
Nostalgia,1983-05-01,"[Oleg Yankovskiy, Erland Josephson, Domiziana Giordano, Laura De Marchi, Delia Boccardo, Milena Vukotic, Livio Galassi, Sergio Fiorentini]","[Andrei Tarkovsky, Andrei Tarkovsky, Daniel Toscan du Plantier, Renzo Rossellini]","[Drama, Romance]"
Autumn Sonata,1978-10-08,"[Ingrid Bergman, Liv Ullmann, Lena Nyman, Halvar Björk, Marianne Aminoff, Gunnar Björnstrand, Erland Josephson]","[Ingmar Bergman, Ingmar Bergman, Katinka Faragó, Martin Starger, Sven Nykvist, Sylvia Ingemarsson, Johann Sebastian Bach, Frédéric Chopin, Georg Friedrich Händel, Robert Schumann, Anna Asp]",[Drama]
Castaway on the Moon,2009-05-14,"[Jung Jae-young, Jung Ryeo-won, Park Young-seo, Koo Kyo-hwan, Yang Mi-kyung, Jang So-yeon]","[Lee Hae-jun, Lee Hae-jun, Kang Woo-suk, Kim Moo-ryoung, Jung Du-hwan, Kim Byung-seo, Lee Seung-chul, Lee Seong-jin]","[Drama, Comedy, Romance]"
The Imitation Game,2014-11-14,"[Benedict Cumberbatch, Keira Knightley, Matthew Goode, Rory Kinnear, Allen Leech, Matthew Beard, Charles Dance, Mark Strong, James Northcote, Tom Goodman-Hill, Steven Waddington, Ilan Goodman, Alex Lawther, Jack Bannon, Tuppence Middleton, Dominik Charman, James G. Nunn, Charlie Manton]","[Morten Tyldum, William Goldenberg, Nina Gold, Maria Djurkovic, Sammy Sheldon, Peter Heslop, Alexandre Desplat]","[History, Drama, Thriller, War]"
The Wages of Fear,1953-04-21,"[Yves Montand, Charles Vanel, Peter van Eyck, Folco Lulli, Antonio Centa, Darío Moreno, William Tubbs]","[Henri-Georges Clouzot, Henri-Georges Clouzot, Jérôme Géronimi, Georges Arnaud, Raymond Borderie, Henri-Georges Clouzot, Georges Auric, Armand Thirard, René Renoux, René Renoux, Roberto Savarese, Robert Juillard]","[Drama, Thriller, Adventure]"
Das Boot,1981-09-16,"[Jürgen Prochnow, Herbert Grönemeyer, Klaus Wennemann, Hubertus Bengsch, Martin Semmelrogge, Bernd Tauber, Erwin Leder, Martin May, Heinz Hoenig, Uwe Ochsenknecht, Claude-Oliver Rudolph, Jan Fedder, Ralf Richter, Otto Sander, Sky du Mont, Joachim Bernhard, Oliver Stritzel, Konrad Becker, Lutz Schnell, Rita Cadillac]","[Wolfgang Petersen, Lothar G. Buchheim, Wolfgang Petersen, Dean Riesner, Günter Rohrbach, Klaus Doldinger, Jost Vacano, Hannes Nikel, Willy Schlenter, Rolf Zehetbauer, Götz Weidner, John W. Hyde, Edward R. Pressman]","[Drama, History, War]"
