title,date,actors,staff,genres
Pulp Fiction,1994-09-10,"[John Travolta, Samuel L. Jackson, Uma Thurman, Bruce Willis, Ving Rhames, Harvey Keitel, Eric Stoltz, Tim Roth, Amanda Plummer, Maria de Medeiros, Quentin Tarantino, Christopher Walken, Rosanna Arquette, Peter Greene, Duane Whitaker, Angela Jones, Phil LaMarr, Steve Buscemi, Bronagh Gallagher]","[Quentin Tarantino, Quentin Tarantino, Lawrence Bender, Danny DeVito, Michael Shamberg, Stacey Sher, Andrzej Sekula, Sally Menke, Gary M. Zuckerbrod, Ronnie Yeskel, David Wasco, Charles Collum, Sandy Reynolds-Wasco, Betsy Heimann, Paul Hellerman, Richard N. Gladstein, Bob Weinstein, Kathy Nelson]","[Thriller, Crime]"
Spider-Man: Into the Spider-Verse,2018-12-07,"[Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali, Brian Tyree Henry, Lily Tomlin, Lauren Vélez, Zoë Kravitz, John Mulaney, Kimiko Glenn, Nicolas Cage, Kathryn Hahn, Liev Schreiber, Chris Pine, Natalie Morales, Edwin H. Bravo, Oscar Isaac, Greta Lee, Stan Lee, Jorma Taccone]","[Phil Lord, Phil Lord, Stan Lee, Steve Ditko, Christopher Miller, Bob Persichetti, Avi Arad, Mary Hidalgo, Peter Ramsey, Rodney Rothman, Phil Lord, Christina Steinberg, Stan Lee, Daniel Pemberton, Rodney Rothman, Amy Pascal]","[Action, Adventure, Animation, Science Fiction, Comedy]"
The Dark Knight,2008-07-16,"[Christian Bale, Michael Caine, Heath Ledger, Gary Oldman, Aaron Eckhart, Maggie Gyllenhaal, Morgan Freeman, Monique Gabriela Curnen, Ron Dean, Nestor Carbonell, Chin Han, Eric Roberts, Ritchie Coster, Anthony Michael Hall, Keith Szarabajka, Joshua Harto, Melinda McGraw, Nathan Gamble, Michael Jai White, Colin McFarlane]","[Christopher Nolan, Jonathan Nolan, Hans Zimmer, Wally Pfister, James Newton Howard, Christopher Nolan, Emma Thomas, Christopher Nolan, David S. Goyer, Michael E. Uslan, Kevin De La Noy, Benjamin Melniker, Lee Smith, Nathan Crowley, Peter Lando, John Papsidera, Lindy Hemming]","[Drama, Action, Crime, Thriller]"
A Dog's Will,2000-09-15,"[Matheus Nachtergaele, Selton Mello, Lima Duarte, Rogério Cardoso, Denise Fraga, Diogo Vilela, Luís Melo, Virginia Cavendish, Bruno Garcia, Maurício Gonçalves, Fernanda Montenegro, Aramis Trindade, Marco Nanini, Paulo Goulart, Enrique Díaz]","[Guel Arraes, Adriana Falcão, Guel Arraes]","[Adventure, Comedy]"
Psycho,1960-06-16,"[Anthony Perkins, Janet Leigh, Vera Miles, John Gavin, Martin Balsam, John McIntire, Simon Oakland, Frank Albertson, Patricia Hitchcock, Vaughn Taylor, Lurene Tuttle, Mort Mills, John Anderson, Alfred Hitchcock]","[Alfred Hitchcock, Joseph Stefano, Alfred Hitchcock, Bernard Herrmann, John L. Russell, George Tomasini, George Milo, Rita Riggs, William Russell, Hilton A. Green, Helen Colvig, Saul Bass, Robert Bloch]","[Horror, Drama]"
Fight Club,1999-10-15,"[Edward Norton, Brad Pitt, Helena Bonham Carter, Meat Loaf, Jared Leto, Zach Grenier, Holt McCallany, Eion Bailey, Richmond Arquette, David Andrews, Christina Cabot, Tim DeZarn, Ezra Buzzington, Bob Stephenson, David Lee Smith, Carl Ciarfalio, Stuart Blumberg, Mark Fite, Matt Winston, Lauren Sánchez]","[Ross Grayson Bell, Art Linson, John King, Michael Simpson, Jeff Cronenweth, James Haygood, Laray Mayfield, Alex McDowell, David Fincher, Chuck Palahniuk, Jim Uhls, Arnon Milchan, Mirela Rupic]",[Drama]
The Lord of the Rings: The Return of the King,2003-12-01,"[Elijah Wood, Ian McKellen, Viggo Mortensen, Sean Astin, Liv Tyler, Orlando Bloom, John Rhys-Davies, Dominic Monaghan, Billy Boyd, Andy Serkis, Cate Blanchett, Hugo Weaving, Ian Holm, Bernard Hill, Karl Urban, Miranda Otto, David Wenham, Sean Bean, John Noble, Marton Csokas]","[Peter Jackson, Peter Jackson, Barrie M. Osborne, Bob Weinstein, Harvey Weinstein, Mark Ordesky, Michael Lynne, J.R.R. Tolkien, Peter Jackson, Fran Walsh, Philippa Boyens, Andrew Lesnie, Mark Robins, John Howe, Dan Hennah, Ngila Dickson, Richard Taylor, Howard Shore]","[Adventure, Fantasy, Action]"
The Wolf's Call,2019-02-20,"[François Civil, Omar Sy, Reda Kateb, Mathieu Kassovitz, Paula Beer, Stefan Godin]","[Jérôme Seydoux, Alain Attal, Alain Attal, Saar Klein]","[Thriller, Drama]"
Once Upon a Time in America,1984-05-23,"[Robert De Niro, James Woods, Elizabeth McGovern, Joe Pesci, Burt Young, Tuesday Weld, Treat Williams, Danny Aiello, Richard Bright, William Forsythe, Darlanne Fluegel, Olga Karlatos, Frank Gio, Jennifer Connelly, Rusty Jacobs]","[Sergio Leone, Gabriella Pescucci, Louis Craig, Benito Stefanelli, Ennio Morricone, Joy Todd, Carlo Simi, Arnon Milchan, Cis Corman]","[Drama, Crime]"
GoodFellas,1990-09-12,"[Ray Liotta, Robert De Niro, Joe Pesci, Paul Sorvino, Frank Sivero, Tony Darrow, Mike Starr, Frank Vincent, Chuck Low, Frank DiLeo, Henny Youngman, Gina Mastrogiacomo, Catherine Scorsese, Charles Scorsese, Suzanne Shepherd, Debi Mazar, Margo Winkler, Welker White, Jerry Vale]","[Martin Scorsese, Nicholas Pileggi, Martin Scorsese, Irwin Winkler, Barbara De Fina, Michael Ballhaus, Thelma Schoonmaker, Ellen Lewis, Kristi Zea, Maher Ahmad, Leslie Bloom, Richard Bruno, Saul Bass, Robert Griffon Jr., Ilona Herman, William A. Farley]","[Drama, Crime]"
12 Angry Men,1957-03-25,"[Henry Fonda, Martin Balsam, John Fiedler, Lee J. Cobb, E.G. Marshall, Jack Klugman, Edward Binns, Jack Warden, Joseph Sweeney, Ed Begley, George Voskovec, Robert Webber, Rudy Bond]","[Sidney Lumet, Reginald Rose, Henry Fonda, Reginald Rose, Kenyon Hopkins, Boris Kaufman, Carl Lerner, Herman Buchman, James A. Gleason, Reginald Rose, George Justin]",[Drama]
One Flew Over the Cuckoo's Nest,1975-11-18,"[Jack Nicholson, Louise Fletcher, Danny DeVito, William Redfield, Scatman Crothers, Brad Dourif, Christopher Lloyd, Will Sampson, Dean R. Brooks, Michael Berryman, Sydney Lassick, William Duell, Vincent Schiavelli, Peter Brocco, Alonzo Brown, Nathan George, Ted Markland]","[Miloš Forman, Ken Kesey, Bo Goldman, Michael Douglas, Saul Zaentz, Jack Nitzsche, Haskell Wexler, Sheldon Kahn, Lynzee Klingman, Jane Feinberg, Mike Fenton, Alan Gibbs, Paul Sylbert, Aggie Guerard Rodgers]",[Drama]
Cinema Paradiso,1988-11-17,"[Philippe Noiret, Jacques Perrin, Marco Leonardi, Salvatore Cascio, Agnese Nano, Antonella Attili, Leo Gullotta, Pupella Maggio, Leopoldo Trieste, Nicola Di Pinto, Brigitte Fossey, Franco Catalano, Giuseppe Tornatore]","[Giuseppe Tornatore, Giuseppe Tornatore, Ennio Morricone, Andrea Morricone, Angelo Ragusa, Franco Tamponi]","[Drama, Romance]"
Harakiri,1962-09-15,"[Tatsuya Nakadai, Shima Iwashita, Akira Ishihama, Yoshio Inaba, Masao Mishima, Ichirô Nakatani, Hisashi Igawa, Tatsuo Matsumura, Akiji Kobayashi, Ryûtarô Gomi, Nakajirô Tomita, Shôtarô Hayashi, Tetsurō Tamba]","[Masaki Kobayashi, Shinobu Hashimoto, Yasuhiko Takiguchi, Makoto Naito, Toru Takemitsu]","[Action, Drama, History]"
"The Good, the Bad and the Ugly",1966-12-23,"[Clint Eastwood, Eli Wallach, Lee Van Cleef, Aldo Giuffrè, Luigi Pistilli, Rada Rassimov, John Bartha, Livio Lorenzon, Antonio Casale, Angelo Novi, Enzo Petito, Sandro Scarchilli, Benito Stefanelli, Aldo Sambrell, Al Mulock, Antonio Molino Rojo, Lorenzo Robledo]","[Sergio Leone, Alberto Grimaldi, Ennio Morricone, Tonino Delli Colli, Eugenio Alabiso, Nino Baragli, Carlo Simi, Sergio Leone, Agenore Incrocci, Furio Scarpelli, Sergio Leone, Carlo Leva, Carlo Simi]",[Western]
Grave of the Fireflies,1988-04-16,"[Tsutomu Tatsumi, Ayano Shiraishi, Yoshiko Shinohara, Akemi Yamaguchi]","[Tooru Hara, Isao Takahata, Akiyuki Nosaka, Isao Takahata, Michio Mamiya, Takeshi Seyama, Yoshifumi Kondou, Nizou Yamamoto, Michiyo Yasuda, Yasuo Uragami, Yoshifumi Kondou, Michihiro Itou, Noriyoshi Oohira, Hisanori Ooshiro, Kunji Tanifuji]","[Animation, Drama, War]"
City Lights,1931-02-26,"[Charlie Chaplin, Virginia Cherrill, Florence Lee, Harry Myers, Al Ernest Garcia, Hank Mann, Albert Austin, Eddie Baker, Henry Bergman, James Donnelly, Jean Harlow]","[Charlie Chaplin, Gordon Pollock, Theodore Reed, Charlie Chaplin, Charlie Chaplin, Charlie Chaplin, Al Ernest Garcia, Harry Crocker, Charlie Chaplin, Roland Totheroh, Willard Nico, Charles D. Hall, Albert Austin, Henry Bergman, Harry Crocker, Harry Crocker, Alfred Newman]","[Comedy, Drama, Romance]"
Seven Samurai,1954-04-26,"[Toshirō Mifune, Takashi Shimura, Yoshio Inaba, Seiji Miyaguchi, Minoru Chiaki, Isao Kimura, Keiko Tsushima, Kamatari Fujiwara, Yoshio Tsuchiya, Kokuten Kôdô, Eijirō Tōno, Atsushi Watanabe, Isao Yamagata, Kichijirô Ueda]","[Akira Kurosawa, Shinobu Hashimoto, Hideo Oguni, Akira Kurosawa, Sôjirô Motoki, Fumio Hayasaka, Asakazu Nakai, Akira Kurosawa, Hiromichi Horikawa, Fumio Yanoguchi, Takao Saitô, Masaru Satô]","[Action, Drama]"
The Great Dictator,1940-10-15,"[Charlie Chaplin, Jack Oakie, Reginald Gardiner, Henry Daniell, Billy Gilbert, Paul Weigel, Paulette Goddard, Grace Hayle, Maurice Moscovitch, Emma Dunn, Carter DeHaven, Rudolph Anders, George Lynn, Chester Conklin, Hank Mann]","[Charlie Chaplin, Charlie Chaplin, Charlie Chaplin, Karl Struss, Roland Totheroh, Willard Nico, J. Russell Spencer, Edward G. Boyle, Percy Townsend, Charlie Chaplin, Buster Wiles, Carter DeHaven]",[Comedy]
Neon Genesis Evangelion: The End of Evangelion,1997-07-19,"[Megumi Hayashibara, Kotono Mitsuishi, Yuko Miyamura, Takehito Koyasu, Hiro Yuuki, Motomu Kiyokawa, Akira Ishida, Mugihito]","[Mitsuhisa Ishikawa, Kazuya Tsurumaki, Shiro Sagisu, Hideaki Anno, Hideaki Anno, Motoaki Ikegami, Hideyuki Tanaka]","[Drama, Science Fiction, Animation]"
Whiplash,2014-10-10,"[Miles Teller, J.K. Simmons, Paul Reiser, Melissa Benoist, Austin Stowell, Jayson Blair, Kavita Patil, Chris Mulkey, Damon Gupton, Max Kasch, Kofi Siriboe]","[Jasmine McGlade, Damien Chazelle, Damien Chazelle, Sharone Meir, Tom Cross, Jason Blum, Helen Estabrook, David Lancaster, Melanie Jones, Justin Hurwitz, Terri Taylor, Jason Reitman, Jeanette Volturno]","[Drama, Music]"
Sherlock: The Final Problem,2017-01-15,"[Benedict Cumberbatch, Martin Freeman, Mark Gatiss, Sian Brooke, Andrew Scott, Una Stubbs, Rupert Graves, Amanda Abbington, Art Malik]","[Benjamin Caron, Mark Gatiss, Steven Moffat, Mark Gatiss, Steven Moffat, Sue Vertue, David Luther]","[Drama, Mystery]"
City of God,2002-02-05,"[Alexandre Rodrigues, Leandro Firmino, Phellipe Haagensen, Douglas Silva, Jonathan Haagensen, Matheus Nachtergaele, Seu Jorge, Alice Braga, Roberta Rodrigues, Darlan Cunha, Thiago Martins, Gero Camilo, Daniel Zettel, Danielle Ornelas, Marcello Melo Jr.]","[Fernando Meirelles, Paulo Lins, Bráulio Mantovani, Andrea Barata Ribeiro, Mauricio Andrade Ramos, Elisa Tolomelli, Bel Berlinck, Marc Beauchamps, Daniel Filho, Vincent Maraval, Donald Ranvaud, Walter Salles, Antonio Pinto, César Charlone, Daniel Rezende, Bia Salgado]","[Drama, Crime]"
Investigation of a Citizen Above Suspicion,1970-11-13,"[Gian Maria Volonté, Florinda Bolkan, Salvo Randone, Orazio Orlando, Arturo Dominici, Massimo Foschi, Aldo Rendine]","[Ennio Morricone, Ruggero Mastroianni, Luigi Kuveiller]","[Drama, Crime]"
Sunset Boulevard,1950-08-10,"[William Holden, Gloria Swanson, Erich von Stroheim, Nancy Olson, Fred Clark, Lloyd Gough, Jack Webb, Franklyn Farnum, Larry J. Blake, Cecil B. DeMille, Hedda Hopper, Buster Keaton, Anna Q. Nilsson, H.B. Warner, Fred Aldrich, Joel Allen, Gertrude Astor]","[Billy Wilder, Charles Brackett, Billy Wilder, Charles Brackett, Franz Waxman, John F. Seitz, Hans Dreier, John Meehan, Sam Comer, Ray Moyer, Edith Head, Wally Westmore, Charles C. Coleman, Gerd Oswald]",[Drama]
American History X,1998-10-30,"[Edward Norton, Edward Furlong, Beverly D'Angelo, Avery Brooks, Jennifer Lien, Ethan Suplee, Stacy Keach, Fairuza Balk, Elliott Gould, Guy Torry, William Russ, Joe Cortese, Jason Bose Smith, Antonio David Lyons, Alex Sol, Giuseppe Andrews, Keram Malicki-Sánchez, Christopher Masterson]","[Tony Kaye, John Morrissey, Anne Dudley, Gerald B. Greenberg, Alan Heim, Valerie McCaffrey, David McKenna, Bill Carraro, Michael De Luca, David McKenna, Kearie Peak, Steve Tisch, Lawrence Turman, Brian Witten]",[Drama]
Howl's Moving Castle,2004-11-19,"[Chieko Baishô, Takuya Kimura, Tatsuya Gashûin, Ryunosuke Kamiki, Haruko Kato, Yayoi Kazuki, Yo Oizumi, Akio Otsuka, Mitsunori Isaki]","[Hayao Miyazaki, Hayao Miyazaki, Toshio Suzuki, John Lasseter, Hayao Miyazaki, Joe Hisaishi, Takeshi Seyama]","[Fantasy, Animation, Adventure]"
The Empire Strikes Back,1980-05-20,"[Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams, Anthony Daniels, David Prowse, James Earl Jones, Peter Mayhew, Kenny Baker, Frank Oz, Alec Guinness, Jason Wingreen, Temuera Morrison, John Hollis, Jack Purvis, Kathryn Mullen, Marjorie Eaton, Clive Revill]","[Irvin Kershner, Gary Kurtz, Leigh Brackett, Lawrence Kasdan, John Williams, George Lucas, George Lucas, Irene Lamb, Norman Reynolds, Leslie Dilley, Alan Tomkins, Michael Ford, John Mollo, Paul Hirsch, George Lucas, Marcia Lucas]","[Adventure, Action, Science Fiction]"
Doctor Who: The Day of the Doctor,2013-11-23,"[Matt Smith, David Tennant, John Hurt, Christopher Eccleston, Billie Piper, Jenna Coleman, Peter Capaldi, Paul McGann, Sylvester McCoy, Colin Baker, Peter Davison, Tom Baker, Jon Pertwee, Patrick Troughton, William Hartnell, Jemma Redgrave, Joanna Page, Ingrid Oliver, Peter de Jersey, Ken Bones]","[Nick Hurran, Steven Moffat]","[Science Fiction, Adventure]"
Capernaum,2018-10-06,"[Zain Al Rafeea, Yordanos Shiferaw, Boluwatife Treasure Bankole, Nadine Labaki]","[Nadine Labaki, Nadine Labaki]",[Drama]
Princess Mononoke,1997-07-12,"[Yuriko Ishida, Yūko Tanaka, Kaoru Kobayashi, Masahiko Nishimura, Tsunehiko Kamijô, Tetsu Watanabe, Hisaya Morishige, Takako Fuji]","[Hayao Miyazaki, Hayao Miyazaki, Toshio Suzuki, Joe Hisaishi, Hayao Miyazaki, Takeshi Seyama, Nizou Yamamoto, Yasuyoshi Tokuma, Masaaki Endou]","[Adventure, Fantasy, Animation]"
The Handmaiden,2016-06-01,"[Kim Min-hee, Kim Tae-ri, Ha Jung-woo, Cho Jin-woong, Kim Hae-sook, Moon So-ri, Lee Yong-nyeo, Lee Dong-hwi, Jo Eun-hyung, Ha Si-yeon, Jeong Ha-dam, Kim In-woo]","[Park Chan-wook, Park Chan-wook, Cho Young-wuk, Kim Sang-beom, Ryu Seong-hee, Chung Seo-kyung, Sarah Waters, Cho Sang-kyung, Chung Chung-hoon, Jeong Won-jo, Miky Lee, Kim Jae-beom]","[Thriller, Drama, Romance]"
Ikiru,1952-10-09,"[Takashi Shimura, Haruo Tanaka, Nobuo Kaneko, Miki Odagiri, Minoru Chiaki, Kamatari Fujiwara, Nobuo Nakamura, Atsushi Watanabe, Isao Kimura, Masao Shimizu, Yūnosuke Itō, Kumeko Urabe, Eiko Miyoshi, Noriko Honma, Yatsuko Tan'ami]","[Akira Kurosawa, Asakazu Nakai, Akira Kurosawa, Shinobu Hashimoto, Akira Kurosawa, Fumio Hayasaka, Sôjirô Motoki, Akio Nojima, Hideo Oguni]",[Drama]
Black Mirror: White Christmas,2014-12-16,"[Jon Hamm, Rafe Spall, Oona Chaplin, Natalia Tena, Janet Montgomery, Rasmus Hardiker, Ken Drury, Dan Li, Beatrice Curnew, Liz May Brice]","[Carl Tibbetts, Charlie Brooker, Shaheen Baig]","[Drama, Mystery, Science Fiction, Thriller, TV Movie]"
Twin Peaks,1989-12-31,"[Kyle MacLachlan, Michael Ontkean, Mädchen Amick, Dana Ashbrook, Richard Beymer, Lara Flynn Boyle, Sherilyn Fenn, Warren Frost, Peggy Lipton, James Marshall, Everett McGill, Jack Nance, Ray Wise, Joan Chen, Piper Laurie, Sheryl Lee, Wendy Robie, Russ Tamblyn, Mary Jo Deschanel]","[David Lynch, David Lynch, Mark Frost, Ronald Víctor García, Angelo Badalamenti, David Lynch, Mark Frost, Richard Hoover]","[Drama, Mystery]"
Dead Poets Society,1989-06-02,"[Robin Williams, Ethan Hawke, Robert Sean Leonard, Gale Hansen, Josh Charles, Dylan Kussman, Allelon Ruggiero, James Waterston, Norman Lloyd, Kurtwood Smith, Leon Pownall, George Martin, Alexandra Powers, Melora Walters]","[Peter Weir, Tom Schulman, John Seale, Maurice Jarre, William M. Anderson, Steven Haft, Paul Junger Witt, Tony Thomas, Howard Feuer, Wendy Stites, Tom Schulman]",[Drama]
My Friends,1975-06-06,"[Ugo Tognazzi, Gastone Moschin, Philippe Noiret, Adolfo Celi, Bernard Blier, Marisa Traversi, Milena Vukotic, Olga Karlatos, Silvia Dionisio, Mauro Vestri, Mario Scarpetta, Edda Ferronao, Sergio Forconi]","[Mario Monicelli, Tullio Pinelli, Carlo Rustichelli]",[Comedy]
Mommy,2014-05-22,"[Anne Dorval, Suzanne Clément, Antoine-Olivier Pilon, Patrick Huard, Alexandre Goyette, Michèle Lituac, Viviane Pascal, Natalie Hamel-Roy, Isabelle Nélisse, Ted Pluviose, Pierre-Yves Cardinal, Reda Guerinik, Justin Laramée, Sabrina Bisson, Huguette Gervais, Vincent Fafard, Jean-Philippe Baril-Guérard, Dominic Desnoyers, Guenièvre Sandré, Isabeau Blanche]","[Xavier Dolan, Xavier Dolan, Xavier Dolan, Xavier Dolan, Xavier Dolan, André Turpin]",[Drama]
Paths of Glory,1957-09-18,"[Kirk Douglas, Ralph Meeker, Adolphe Menjou, George Macready, Wayne Morris, Richard Anderson, Timothy Carey, Christiane Kubrick, Jerry Hausner, Peter Capell, Emile Meyer, Bert Freed, Kem Dibbs, James B. Harris]","[Stanley Kubrick, Stanley Kubrick, Stanley Kubrick, Jim Thompson, Kirk Douglas, James B. Harris, Gerald Fried, Georg Krause, Eva Kroll, Martin Müller, Helmut Ringelmann, Franz-Josef Spieker, Hans Stumpf]","[Drama, War]"
The Legend of 1900,1998-10-28,"[Tim Roth, Pruitt Taylor Vince, Bill Nunn, Gabriele Lavia, Clarence Williams III, Mélanie Thierry, Peter Vaughan, Alberto Vazquez, Nicola Di Pinto, Anita Zagaria]","[Giuseppe Tornatore, Giuseppe Tornatore, Ennio Morricone]","[Drama, Music, Romance]"
Rear Window,1954-08-01,"[James Stewart, Grace Kelly, Wendell Corey, Thelma Ritter, Raymond Burr, Judith Evelyn, Ross Bagdasarian, Georgine Darcy, Sara Berner, Frank Cady, Jesslyn Fax, Bess Flowers, Kathryn Grant, Marla English, Alfred Hitchcock, Anthony Warde, Gig Young]","[Alfred Hitchcock, Alfred Hitchcock, James C. Katz, Franz Waxman, Robert Burks, George Tomasini, Hal Pereira, Sam Comer, Ray Moyer, Edith Head, Wally Westmore, C.O. Erickson, Cornell Woolrich, John Michael Hayes, Herbert Coleman]","[Drama, Mystery, Thriller]"
Tokyo Story,1953-11-03,"[Chishū Ryū, Chieko Higashiyama, Setsuko Hara, Haruko Sugimura, Sô Yamamura, Kuniko Miyake, Kyôko Kagawa, Eijirō Tōno, Nobuo Nakamura, Shirô Ôsaka, Teruko Nagaoka, Toyo Takahashi, Tôru Abe]","[Yasujirō Ozu, Kōgo Noda, Yasujirō Ozu, Takanobu Saitô, Yûharu Atsuta]",[Drama]
Léon: The Professional,1994-09-14,"[Jean Reno, Natalie Portman, Gary Oldman, Danny Aiello, Peter Appel, Michael Badalucco, Ellen Greene, Carl J. Matusovich, Eric Challier, Don Creech, Jernard Burks, Matt De Matt, Frank Senger, Lucius Wyatt 'Cherokee', Maïwenn, Luc Bernard]","[Luc Besson, Patrice Ledoux, Eric Serra, Thierry Arbogast, Sylvie Landra, Todd M. Thaler, Dan Weil, Magali Guidasci, Luc Besson, Pascal Chaumeil, Peter Bucossi, Michael E. Phillips]","[Thriller, Crime, Drama]"
Persona,1966-10-18,"[Bibi Andersson, Liv Ullmann, Margaretha Krook, Gunnar Björnstrand, Jörgen Lindström]","[Ingmar Bergman, Ingmar Bergman, Ingmar Bergman, Lars Johan Werle, Sven Nykvist]",[Drama]
In a Heartbeat,2017-06-01,[],"[Beth David, Esteban Bravo, Beth David, Esteban Bravo, Beth David, Esteban Bravo, Michael Kahn]","[Family, Animation, Romance, Comedy]"
The Pianist,2002-09-17,"[Adrien Brody, Thomas Kretschmann, Frank Finlay, Maureen Lipman, Emilia Fox, Ed Stoppard, Michal Zebrowski, Wanja Mues, Richard Ridings, Thomas Lawinky, Joachim Paul Assböck, Paul Bradley]","[Roman Polanski, Ronald Harwood, Roman Polanski, Alain Sarde, Hervé de Luze, Wojciech Kilar, Pawel Edelman, Robert Benmussa, Celestia Fox, Heta Mantscheff, Allan Starski, Nenad Pečur, Anna B. Sheppard, Weronika Migon]","[Drama, War]"
Witness for the Prosecution,1957-12-17,"[Tyrone Power, Marlene Dietrich, Charles Laughton, Elsa Lanchester, John Williams, Henry Daniell, Ian Wolfe, Torin Thatcher, Norma Varden, Una O'Connor, Francis Compton, Ruta Lee, Bess Flowers, Leoda Richards, Patrick Aherne, Eddie Baker, Brandon Beach, Colin Kenny]","[Billy Wilder, Agatha Christie, Lawrence B. Marcus, Billy Wilder, Harry Kurnitz, Arthur Hornblow Jr., Daniel Mandell, Fred Lau, Emmett Emerson, Wally Westmore, Edward Small, Matty Malneck, Russell Harlan, Alexandre Trauner, Howard Bristol]","[Drama, Mystery, Crime]"
Big Deal on Madonna Street,1958-06-06,"[Vittorio Gassman, Marcello Mastroianni, Renato Salvatori, Totò, Claudia Cardinale, Tiberio Murgia, Memmo Carotenuto, Carlo Pisacane, Carla Gravina, Rossana Rory, Nino Marchetti, Gina Rovere, Elena Fabrizi, Mario Feliciani, Mimmo Poli, Mario De Simone, Gustavo Serena]","[Mario Monicelli, Piero Umiliani, Agenore Incrocci, Agenore Incrocci, Furio Scarpelli, Furio Scarpelli, Suso Cecchi d'Amico, Mario Monicelli]","[Comedy, Crime]"
Call Me by Your Name,2017-09-01,"[Timothée Chalamet, Armie Hammer, Michael Stuhlbarg, Amira Casar, Esther Garrel, Victoire Du Bois, Vanda Capriolo, André Aciman, Peter Spears]","[Luca Guadagnino, James Ivory, Rodrigo Teixeira, Walter Fasano, Sayombhu Mukdeeprom, Peter Spears, Luca Guadagnino, André Aciman, James Ivory, Sophie Mas]","[Romance, Drama]"
Modern Times,1936-02-05,"[Charlie Chaplin, Paulette Goddard, Henry Bergman, Tiny Sandford, Chester Conklin, Hank Mann, Stanley Blystone, Al Ernest Garcia, Richard Alexander, Murdock MacQuarrie, Wilfred Lucas, Edward LeSaint, Fred Malatesta, Sammy Stein, Gloria DeHaven]","[Charlie Chaplin, Charlie Chaplin, Charlie Chaplin, Ira H. Morgan, Roland Totheroh, Willard Nico, Al Ernest Garcia, Charlie Chaplin, J. Russell Spencer, Charles D. Hall, Charles D. Hall, J. Russell Spencer, Henry Bergman, Alfred Newman, Edward B. Powell, Charlie Chaplin, Carter DeHaven, Bud Thackery, Frank Maher]","[Drama, Comedy]"
Se7en,1995-09-22,"[Brad Pitt, Morgan Freeman, Gwyneth Paltrow, John C. McGinley, R. Lee Ermey, Richard Roundtree, Richard Schiff, Mark Boone Junior, John Cassini, Reg E. Cathey, Hawthorne James, Michael Massee, Leland Orser, Richard Portnow, Daniel Zacapa, Alfonso Freeman, Harris Savides, Andrew Kevin Walker]","[Andrew Kevin Walker, Phyllis Carlyle, Arnold Kopelson, Anne Kopelson, Howard Shore, Darius Khondji, Richard Francis-Bruce, Kerry Barden, Billy Hopkins, Suzanne Smith, Arthur Max, Gary Wissner, Clay A. Griffith, Michael Kaplan, Dan Kolsrud, David Fincher]","[Crime, Mystery, Thriller]"
The Best of Youth,2003-05-19,"[Luigi Lo Cascio, Alessio Boni, Adriana Asti, Maya Sansa, Valentina Carnelutti, Jasmine Trinca, Lidia Vitale, Claudio Gioè, Riccardo Scamarcio, Stefano Abbati, Giovanni Martorana]","[Sandro Petraglia, Stefano Rulli, Roberto Missiroli, Elisabetta Montaldo, Fulgenzio Ceccon]",[Drama]
Andrei Rublev,1966-12-16,"[Anatoliy Solonitsyn, Nikolay Grinko, Nikolai Sergeyev, Irma Raush, Nikolay Burlyaev, Yuriy Nazarov, Mikhail Kononov, Yuriy Nikulin, Stepan Krylov, Anatoliy Obukhov, Aleksandr Titov, Vladimir Vasiliev]","[Vyacheslav Ovchinnikov, Vadim Yusov, Andrei Tarkovsky, Andrei Konchalovsky, Andrei Tarkovsky, Sergey Voronkov]","[Drama, History]"
The Lord of the Rings: The Fellowship of the Ring,2001-12-18,"[Elijah Wood, Ian McKellen, Viggo Mortensen, Sean Astin, Liv Tyler, Orlando Bloom, John Rhys-Davies, Dominic Monaghan, Billy Boyd, Sean Bean, Andy Serkis, Cate Blanchett, Christopher Lee, Hugo Weaving, Ian Holm, Marton Csokas, Craig Parker, Lawrence Makoare, Sala Baker, Sarah McLeod]","[Peter Jackson, Peter Jackson, Barrie M. Osborne, Bob Weinstein, Harvey Weinstein, Mark Ordesky, Michael Lynne, J.R.R. Tolkien, Peter Jackson, Fran Walsh, Philippa Boyens, Howard Shore, Andrew Lesnie, Grant Major, John Gilbert, Philip Ivey, Mark Robins, Ngila Dickson]","[Adventure, Fantasy, Action]"
Il Sorpasso,1962-12-04,"[Vittorio Gassman, Catherine Spaak, Jean-Louis Trintignant, Claudio Gora, Mila Stanic, Linda Sini, Franca Polesello, Lilly Darelli, Edda Ferronao, Jacques Stany]","[Ettore Scola, Riz Ortolani, Mario Cecchi Gori, Alfio Contini, Maurizio Lucidi]","[Drama, Comedy]"
Green Book,2018-11-16,"[Viggo Mortensen, Mahershala Ali, Linda Cardellini, Dimiter D. Marinov, Iqbal Theba, Sebastian Maniscalco, P. J. Byrne, Tom Virtue, Don Stark, Brian Stepanek, Dennis W. Hall, Maggie Nixon, Brian Distance, Nick Vallelonga]","[Peter Farrelly, Sean Porter, Nick Vallelonga, Brian Hayes Currie, Peter Farrelly, Jim Burke, Charles B. Wessler, Brian Hayes Currie, Peter Farrelly, Nick Vallelonga, John Sloss, Octavia Spencer, Tim Galvin, Scott Plauche]","[Drama, Comedy]"
