name,gender
Bryan Singer,m
Anatole Dauman,m
Karl Struss,m
Aaron Ryder,m
Marcia Lucas,f
Daniel Ribeiro,m
Joanna Johnston,f
Daniel Ribeiro,m
Emeric Pressburger,m
Marie-Josèphe Yoyotte,f
Nathan Crowley,m
James Liggat,m
Adolph Deutsch,m
Charlie Chaplin,m
Sarah Waters,f
Brian May,m
Charlie Chaplin,m
Mark Frost,m
Cho Sang-kyung,f
Hans Zimmer,m
William Monahan,m
Chris Moore,m
Irving G. Ries,m
Jonathan King,m
H.R. Giger,m
Walter M. Scott,m
Craig McKay,m
Akira Kurosawa,m
Andy Cole,m
Quirin Berg,m
Kim Sang-beom,m
Pietro Scalia,m
Kensuke Ushio,m
Danielle Berman,f
Terence A. Clegg,m
Gene Kelly,m
Richard Taylor,m
Zach Staenberg,m
Takanobu Saitô,m
Georg Krause,m
Carl Theodor Dreyer,m
Billy Wilder,m
Michael Seymour,m
Peter Jackson,m
Kenyon Hopkins,m
Martin Hunter,m
Sam Shepard,m
Ray Moyer,m
Edward G. Boyle,m
Fujio Morita,m
Steve Gehrke,m
Richard Hoover,m
Adolph Green,m
Silke Buhr,f
Sergio Leone,m
Akira Kurosawa,m
Karl Struss,m
Mel Brooks,m
Michael Seirton,m
Franco Tamponi,m
Hideo Oguni,m
Lee Smith,m
Antonio Pinto,m
Keith Pain,m
Michael De Luca,m
Lynda Obst,f
Yasuyoshi Tokuma,m
Ronald Harwood,m
Paul Falkenberg,m
Maurizio Lucidi,m
Mamoru Hosoda,m
Luc Besson,m
Janus Billeskov Jansen,m
Hummer Højmark,m
Peter Czernin,m
Elizabeth McBride,f
Paul Hellerman,m
Scott Martin Gershin,m
Tonino Delli Colli,m
William Russell,m
Jim Starlin,m
Hans Zimmer,m
Todd M. Thaler,m
Robert Zemeckis,m
Billy Wilder,m
Tullio Pinelli,m
Sergio Leone,m
Harry Kurnitz,m
John Houseman,m
Gerald R. Molen,m
Park Chan-wook,m
Masaichi Nagata,m
Luis Buñuel,m
Elia Kazan,m
Dan Hennah,m
Kirk Douglas,m
Aditya Chopra,m
Asakazu Nakai,m
Michel Gondry,m
Emeric Pressburger,m
René Renoux,m
Alfred Hitchcock,m
Garth Davis,m
Valerie McCaffrey,f
Leo F. Forbstein,m
Van Nest Polglase,m
Nitesh Tiwari,m
Alessio Cremonini,m
Billy Wilder,m
Piotr Sobocinski,m
Peter Jackson,m
Jérôme Géronimi,m
David O. Selznick,m
Betsy Heimann,f
Steve Golin,m
Owen Marks,m
Stanley Donen,m
Nikki Barrett,f
Martin McDonagh,m
Jim Uhls,m
Krzysztof Piesiewicz,m
Billy Wilder,m
Jennifer Blum,f
Alexander Korda,m
Betsy Heimann,f
Denis Villeneuve,m
Lilian Lee,f
Akira Suzuki,m
Jennifer Duffy,f
Walter Murch,m
Vincent Maraval,m
Leslie Dilley,m
Robert J. Schiffer,m
Bong Joon-ho,m
Adrienne Fazan,f
Ryu Seong-hee,f
Edward R. Pressman,m
Kim Byung-seo,m
Mark Frost,m
Peter Heslop,m
David Wasco,m
Charlie Chaplin,m
Freddie Francis,m
Peter Farrelly,m
